ID,DSC,ORDER,KM,CCW,CW,CCW_BRANCH,CW_BRANCH,CHENG_ZHUI_CCW,CHENG_ZHUI_CW,CCW_KM,CW_KM,CCW_BRANCH_KM,CW_BRANCH_KM,CHENG_ZHUI_CCW_KM,CHENG_ZHUI_CW_KM
5220,太麻里,147,536,5230,5210,,,,,11.7,11,,,,
5230,知本,148,547.7,5240,5220,,,,,7,11.7,,,,
5240,康樂,149,554.7,6000,5230,,,,,4.6,7,,,,
6000,台東,150,559.3,6010,5240,,,,,8.1,4.6,,,,
6010,山里,151,567.4,6020,6000,,,,,6.2,8.1,,,,
6020,鹿野,152,573.6,6030,6010,,,,,5.5,6.2,,,,
6030,瑞源,153,579.1,6040,6020,,,,,2.8,5.5,,,,
6040,瑞和,154,581.9,6050,6030,,,,,7.4,2.8,,,,
6050,關山,155,589.3,6060,6040,,,,,6.5,7.4,,,,
6060,海端,156,595.8,6070,6050,,,,,5.6,6.5,,,,
6070,池上,157,601.4,6080,6060,,,,,6.9,5.6,,,,
6080,富里,158,608.3,6090,6070,,,,,6.2,6.9,,,,
6090,東竹,159,614.5,6100,6080,,,,,5.9,6.2,,,,
6100,東里,160,620.4,6110,6090,,,,,6.7,5.9,,,,
6110,玉里,161,627.1,6120,6100,,,,,11,6.7,,,,
6120,三民,162,638.1,6130,6110,,,,,9.3,11,,,,
6130,瑞穗,163,647.4,6140,6120,,,,,9.2,9.3,,,,
6140,富源,164,656.6,6150,6130,,,,,3,9.2,,,,
6150,大富,165,659.6,6160,6140,,,,,7.7,3,,,,
6160,光復,166,667.3,6170,6150,,,,,5.6,7.7,,,,
6170,萬榮,167,672.9,6180,6160,,,,,4.8,5.6,,,,
6180,鳳林,168,677.7,6190,6170,,,,,4.1,4.8,,,,
6190,南平,169,681.8,6200,6180,,,,,2.2,4.1,,,,
6200,林榮新光,170,684,6210,6190,,,,,6.3,2.2,,,,
6210,豐田,171,690.3,6220,6200,,,,,2.7,6.3,,,,
6220,壽豐,172,693,6230,6210,,,,,1.9,2.7,,,,
6230,平和,173,694.9,6240,6220,,,,,2.9,1.9,,,,
6240,志學,174,697.8,6250,6230,,,,,9,2.9,,,,
6250,吉安,175,706.8,7000,6240,,,,,3.4,9,,,,
7000,花蓮,176,710.2,7010,6250,,,,,4.5,3.4,,,,
7010,北埔,177,714.7,7020,7000,,,,,6.5,4.5,,,,
7020,景美,178,721.2,7030,7010,,,,,5.3,6.5,,,,
7030,新城,179,726.5,7040,7020,,,,,5.3,5.3,,,,
7040,崇德,180,731.8,7050,7030,,,,,10.1,5.3,,,,
7050,和仁,181,741.9,7060,7040,,,,,7.7,10.1,,,,
7060,和平,182,749.6,7070,7050,,,,,4.2,7.7,,,,
7070,漢本,183,753.8,7080,7060,,,,,12.9,4.2,,,,
7080,武塔,184,766.7,7090,7070,,,,,3.7,12.9,,,,
7090,南澳,185,770.4,7100,7080,,,,,8,3.7,,,,
7100,東澳,186,778.4,7110,7090,,,,,5.8,8,,,,
7110,永樂,187,784.2,7130,7100,,,,,5.2,5.8,,,,
7120,蘇澳,188,786,7130,,,,,,3.4,,,,,
7130,蘇澳新,189,789.4,7140,7110,,7120,,,0.9,5.2,,3.4,,
7140,新馬,190,790.3,7150,7130,,,,,4.2,0.9,,,,
7150,冬山,191,794.5,7160,7140,,,,,5,4.2,,,,
7160,羅東,192,799.5,7170,7150,,,,,1.8,5,,,,
7170,中里,193,801.3,7180,7160,,,,,1.2,1.8,,,,
7180,二結,194,802.5,7190,7170,,,,,5.8,1.2,,,,
7190,宜蘭,195,808.3,7200,7180,,,,,3.7,5.8,,,,
7200,四城,196,812,7210,7190,,,,,4.7,3.7,,,,
7210,礁溪,197,816.7,7220,7200,,,,,4.1,4.7,,,,
7220,頂埔,198,820.8,7230,7210,,,,,2.2,4.1,,,,
7230,頭城,199,823,7240,7220,,,,,3.6,2.2,,,,
7240,外澳,200,826.6,7250,7230,,,,,3.6,3.6,,,,
7250,龜山,201,830.2,7260,7240,,,,,4.6,3.6,,,,
