time,ax,ax1
03:52:00,232,464
03:52:30,232.5,465
03:53:00,233,466
03:53:30,233.5,467
03:54:00,234,468
03:54:30,234.5,469
03:55:00,235,470
03:55:30,235.5,471
03:56:00,236,472
03:56:30,236.5,473
03:57:00,237,474
03:57:30,237.5,475
03:58:00,238,476
03:58:30,238.5,477
03:59:00,239,478
03:59:30,239.5,479
04:00:00,240,480
04:00:30,240.5,481
04:01:00,241,482
04:01:30,241.5,483
04:02:00,242,484
04:02:30,242.5,485
04:03:00,243,486
04:03:30,243.5,487
04:04:00,244,488
04:04:30,244.5,489
04:05:00,245,490
04:05:30,245.5,491
04:06:00,246,492
04:06:30,246.5,493
04:07:00,247,494
04:07:30,247.5,495
04:08:00,248,496
04:08:30,248.5,497
04:09:00,249,498
04:09:30,249.5,499
04:10:00,250,500
04:10:30,250.5,501
04:11:00,251,502
04:11:30,251.5,503
04:12:00,252,504
04:12:30,252.5,505
04:13:00,253,506
04:13:30,253.5,507
04:14:00,254,508
04:14:30,254.5,509
04:15:00,255,510
04:15:30,255.5,511
04:16:00,256,512
04:16:30,256.5,513
04:17:00,257,514
04:17:30,257.5,515
04:18:00,258,516
04:18:30,258.5,517
04:19:00,259,518
04:19:30,259.5,519
04:20:00,260,520
04:20:30,260.5,521
04:21:00,261,522
04:21:30,261.5,523
04:22:00,262,524
04:22:30,262.5,525
04:23:00,263,526
04:23:30,263.5,527
04:24:00,264,528
04:24:30,264.5,529
04:25:00,265,530
04:25:30,265.5,531
04:26:00,266,532
04:26:30,266.5,533
04:27:00,267,534
04:27:30,267.5,535
04:28:00,268,536
04:28:30,268.5,537
04:29:00,269,538
04:29:30,269.5,539
04:30:00,270,540
04:30:30,270.5,541
04:31:00,271,542
04:31:30,271.5,543
04:32:00,272,544
04:32:30,272.5,545
04:33:00,273,546
04:33:30,273.5,547
04:34:00,274,548
04:34:30,274.5,549
04:35:00,275,550
04:35:30,275.5,551
04:36:00,276,552
04:36:30,276.5,553
04:37:00,277,554
04:37:30,277.5,555
04:38:00,278,556
04:38:30,278.5,557
04:39:00,279,558
04:39:30,279.5,559
04:40:00,280,560
04:40:30,280.5,561
04:41:00,281,562
04:41:30,281.5,563
04:42:00,282,564
04:42:30,282.5,565
04:43:00,283,566
04:43:30,283.5,567
04:44:00,284,568
04:44:30,284.5,569
04:45:00,285,570
04:45:30,285.5,571
04:46:00,286,572
04:46:30,286.5,573
04:47:00,287,574
04:47:30,287.5,575
04:48:00,288,576
04:48:30,288.5,577
04:49:00,289,578
04:49:30,289.5,579
04:50:00,290,580
04:50:30,290.5,581
04:51:00,291,582
04:51:30,291.5,583
04:52:00,292,584
04:52:30,292.5,585
04:53:00,293,586
04:53:30,293.5,587
04:54:00,294,588
04:54:30,294.5,589
04:55:00,295,590
04:55:30,295.5,591
04:56:00,296,592
04:56:30,296.5,593
04:57:00,297,594
04:57:30,297.5,595
04:58:00,298,596
04:58:30,298.5,597
04:59:00,299,598
04:59:30,299.5,599
05:00:00,300,600
05:00:30,300.5,601
05:01:00,301,602
05:01:30,301.5,603
05:02:00,302,604
05:02:30,302.5,605
05:03:00,303,606
05:03:30,303.5,607
05:04:00,304,608
05:04:30,304.5,609
05:05:00,305,610
05:05:30,305.5,611
05:06:00,306,612
05:06:30,306.5,613
05:07:00,307,614
05:07:30,307.5,615
05:08:00,308,616
05:08:30,308.5,617
05:09:00,309,618
05:09:30,309.5,619
05:10:00,310,620
05:10:30,310.5,621
05:11:00,311,622
05:11:30,311.5,623
05:12:00,312,624
05:12:30,312.5,625
05:13:00,313,626
05:13:30,313.5,627
05:14:00,314,628
05:14:30,314.5,629
05:15:00,315,630
05:15:30,315.5,631
05:16:00,316,632
05:16:30,316.5,633
05:17:00,317,634
05:17:30,317.5,635
05:18:00,318,636
05:18:30,318.5,637
05:19:00,319,638
05:19:30,319.5,639
05:20:00,320,640
05:20:30,320.5,641
05:21:00,321,642
05:21:30,321.5,643
